,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree Random,2024-12-11,2917.7823110355253,3024.4126094419235,2964.7721927752577,3075.355857898715,2977.5452144746782,2948.358013668431,2935.271318499622,3037.886869173596,3043.1484767888633,3024.580961356765
MABTree Random,2024-12-12,2964.758223733938,3079.2545935689077,3019.8125499181147,3126.5094690098263,3015.569381141345,2987.9867438271613,2976.552429610733,3093.6994485386754,3089.532087899974,3067.278739134543
MABTree Random,2024-12-13,3001.86044595616,3128.6162602355744,3061.4297664714027,3163.011849962207,3060.1171986016625,3025.2842438271614,3018.5205468946833,3129.278337427564,3130.268471119929,3108.415961356765
MABTree Random,2024-12-14,3044.3722996976567,3164.4317066641456,3101.64031068909,3205.100615394306,3089.026008125472,3062.5542438271614,3069.236102450239,3171.0938929831195,3176.35480898841,3148.1916061980346
MABTree Random,2024-12-15,3072.759760015117,3202.473452695892,3138.185032911312,3243.559226505417,3127.1010874905514,3110.6358410493835,3110.9024516565883,3216.1541310783578,3216.5572693058702,3187.789066515495
MABTree Random,2024-12-16,3112.1788076341645,3240.3313495212888,3184.1711440224235,3286.350615394306,3154.5421192365834,3150.9547299382725,3152.976062767699,3257.697186633913,3257.8368327979338,3233.344185563114
MABTree Random,2024-12-17,3165.773142951625,3286.6188495212887,3227.0988027525823,3331.758143738977,3199.482397014361,3194.1003251763677,3186.245507212144,3302.5852308516,3299.6926661312673,3274.172320483749
MABTree Random,2024-12-18,3214.0301667611484,3322.0608733308127,3261.713802752582,3370.626754850088,3240.7965636810277,3232.6583807319234,3222.977162540942,3348.033008629378,3349.2183804169817,3316.499582388511
MABTree Random,2024-12-19,3250.871833427815,3365.3651590450986,3300.4078503716296,3406.5572530864197,3289.7050557445195,3270.9475870811298,3264.196650919627,3388.177661407156,3390.0300017321747,3360.700693499622
MABTree Random,2024-12-20,3289.618222316704,3399.765595553035,3343.4975725938516,3459.5300308641977,3329.282028533635,3319.168182319225,3300.951095364071,3423.3643280738224,3426.0690876165286,3398.389463340892
MABTree Random,2024-12-21,3325.9737778722592,3436.1456352355744,3377.3138424351214,3485.7403880070547,3359.1536952003016,3347.6435791446215,3333.628873141849,3455.6904391849334,3457.6613495212905,3440.341164021164
MABTree Random,2024-12-22,3360.589333427815,3470.527936822876,3409.129675768455,3506.6831657848325,3388.960917422524,3379.5164462081134,3372.10748425296,3491.1128201373144,3489.413016187957,3473.2442195767194
MABTree UCB,2024-10-02,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778,46.71527777777778
MABTree UCB,2024-10-03,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334,84.86458333333334
MABTree UCB,2024-10-04,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889,129.4357638888889
MABTree UCB,2024-10-05,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778,160.4040277777778
MABTree UCB,2024-10-06,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667,202.6147916666667
MABTree UCB,2024-10-07,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002,247.52687500000002
MABTree UCB,2024-10-08,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222,293.0315972222222
MABTree UCB,2024-10-09,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777,333.88715277777777
MABTree UCB,2024-10-10,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665,378.42541666666665
MABTree UCB,2024-10-11,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445,434.53506944444445
MABTree UCB,2024-10-12,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778,464.3152777777778
MABTree UCB,2024-10-13,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225,498.49409722222225
MABTree UCB,2024-10-14,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445,536.9669444444445
MABTree UCB,2024-10-15,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112,584.9436111111112
MABTree UCB,2024-10-16,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222,621.7465972222222
MABTree UCB,2024-10-17,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668,663.2816666666668
MABTree UCB,2024-10-18,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001,693.1450000000001
