,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy,2024-10-18,718.8155853174604,707.8528692680775,729.6624050453515,720.0813888888888,740.4927083333333,753.6380421705719,758.2616765873016,766.5617857142856,779.3737797619048,760.9112301587302
MABTree ε-greedy,2024-10-19,747.4683630952383,737.1389803791886,764.6928911564627,746.3313888888888,773.6881944444444,790.5407505039052,796.3349404761905,800.6531051587301,812.0720436507936,792.1084523809524
MABTree ε-greedy,2024-10-20,788.5707936507938,779.5052998236331,800.675113378685,784.9460416666666,815.1423611111111,833.6806810594608,835.208358686067,839.1003273809523,855.192251984127,833.415882936508
MABTree ε-greedy,2024-10-21,827.6188095238097,817.9599823633156,837.9067800453516,823.1832638888889,850.3451388888889,866.6334588372385,870.3250253527336,875.9431845238095,887.4783630952381,869.3408829365079
MABTree ε-greedy,2024-10-22,877.4922123015874,859.2162323633156,879.3112939342406,869.1322222222221,895.2247222222222,912.7202643927941,916.7847773368607,915.2296726190475,932.4596130952382,919.0276884920635
MABTree ε-greedy,2024-10-23,922.1972222222223,913.7601311728395,921.9413038548755,917.7404861111111,942.4230654761905,962.003528281683,965.6830412257495,961.1723809523809,980.9989880952381,966.9037301587301
MABTree ε-greedy,2024-10-24,972.2225000000001,960.2170061728394,968.5986506361807,961.3151388888889,987.2792614638448,1009.7654385550516,1007.1910273368607,1005.6814781746031,1031.052529761905,1015.6425439342403
MABTree ε-greedy,2024-10-25,1026.2665972222223,1010.5739506172839,1017.7166367472918,1013.1036805555556,1034.5900253527336,1059.7484246661627,1054.1826245590828,1058.1717559523809,1079.0818507495592,1063.6661550453514
MABTree ε-greedy,2024-10-26,1073.8858432539685,1051.0559744268078,1060.1830256361807,1063.1022916666666,1078.695858686067,1104.4369167296547,1101.7401245590827,1107.1860769400353,1129.7021965545478,1109.2011833900226
MABTree ε-greedy,2024-10-27,1111.7111904761907,1097.4339010141093,1099.5722617472918,1104.032986111111,1124.5047630070546,1148.626376606198,1144.965819003527,1152.518715828924,1180.159557665659,1154.6043083900227
MABTree ε-greedy,2024-10-28,1157.0615575396828,1143.4741787918872,1144.7858728584029,1160.6990277777777,1174.2836518959434,1191.1969321617535,1195.9824162257491,1201.066979717813,1230.3890021101033,1201.2070861678005
MABTree ε-greedy,2024-10-29,1193.3803075396827,1186.2070954585538,1197.942470080625,1205.5756944444443,1218.9725407848323,1235.1479738284202,1235.6429023368603,1244.9830213844796,1274.1798751259764,1242.9244472789117
MABTree ε-greedy,2024-10-30,1242.8037046485263,1236.8932009007306,1245.9197560783575,1259.5517998866212,1266.5180906714536,1285.2233210506424,1285.3098467813047,1294.4794797178129,1320.3680001259763,1289.9786139455782
MABTree ε-greedy,2024-10-31,1285.744746315193,1286.4175759007305,1289.854061633913,1307.5427721088433,1312.9479517825648,1328.6416543839757,1335.5525551146382,1341.8016247795413,1372.182057665659,1342.3618778344671
MABTree ε-greedy,2024-11-01,1321.7857879818596,1327.9975064562861,1331.778327506929,1351.5341312358275,1353.9117712270092,1363.532626606198,1377.1513235386744,1383.3554442239856,1407.7285854434367,1379.4667389455783
MABTree ε-greedy,2024-11-02,1353.888982426304,1358.0948675673972,1367.9137441735957,1383.245589569161,1386.8655906714537,1393.7668781494078,1411.5861229213906,1415.8696803350967,1443.3721271101033,1409.7132667233561
MABTree ε-greedy,2024-11-03,1392.8283871882088,1398.375631456286,1408.4856191735958,1424.03197845805,1425.662187893676,1431.8395468002016,1448.4191090325016,1454.4288569223984,1483.0328909989921,1445.2073639455784
MABTree ε-greedy,2024-11-04,1437.1654705215421,1436.2360778848574,1447.8977025069291,1464.5177423469388,1468.2087156714538,1478.3778106890904,1499.2618868102795,1501.5989958112873,1529.504299729151,1487.9525028344674
MABTree ε-greedy,2024-11-05,1475.7824844104312,1474.193647329302,1487.7949941735958,1503.17260345805,1507.0673962270093,1518.7837134668682,1540.672581254724,1544.604898589065,1565.8518691735953,1526.874655612245
MABTree ε-greedy,2024-11-06,1517.1329010770978,1513.479133440413,1529.462077506929,1544.6385756802722,1547.3150351158981,1561.7514218002016,1578.8885534769463,1589.5448291446205,1602.2845080624843,1567.6038222789118
MABTree ε-greedy,2024-11-07,1575.63012329932,1565.4321812799192,1581.4140142353242,1596.3110679642227,1598.3444718442931,1614.1480267384732,1636.2930596497858,1639.5987180335094,1658.1897858402622,1622.371808390023
MABTree ε-greedy,2024-11-08,1624.036621315193,1622.6217348513478,1637.7358197908798,1646.7664945515244,1660.7256523998487,1667.9764989606954,1685.2509763164526,1694.4043316956408,1708.3373552847065,1681.2100028344676
